Signal,Price,Quantity,Profit,Time
BUY,102342.0,0.00781572322257509,0.0,13:50:03
SELL,102349.3,0.01563144644515018,0.11410955904964182,13:52:58
BUY,102328.98,0.020284310766205637,0.0,13:55:50
SELL,102367.8,0.040568621532411274,1.574873887888489,14:04:23
BUY,102380.05,0.05264929760649855,0.0,14:04:58
SELL,101960.49,0.1052985952129971,-44.17907860756482,14:12:56
BUY,102034.1,0.13611516319084552,0.0,14:22:12
SELL,101968.99,0.27223032638169103,-17.724916550712063,14:37:09
BUY,101595.66,0.35455252747233107,0.0,14:44:39
SELL,101740.01,0.7091050549446621,102.35931468125578,14:55:59
BUY,101815.78,0.919682876502578,0.0,15:16:30
SELL,101790.48,1.839365753005156,-46.535953551035796,15:20:47
BUY,101953.0,2.383030262576025,0.0,15:26:10
SELL,101878.24,4.76606052515205,-356.3106848603423,15:28:28
BUY,101866.01,6.186083586900983,0.0,15:32:46
SELL,101538.5,12.372167173801966,-4052.0084710918172,15:45:46
BUY,101519.53,16.04472132632378,0.0,15:46:39
SELL,101816.23,32.08944265264756,9520.937635040438,15:50:59
BUY,102149.29,41.53808213260936,0.0,15:57:07
SELL,102150.24,83.07616426521872,78.92235605292493,15:57:53
